SOF  LON  12-JUL-19,,,,,,,,,,,,,,,,,,,,,,,,,,,
Type  ,Bus Group ,Account   ,Sub Acc   ,Contract       ,Delivery ,    Strike,      Lotsize,Sq,B,           Lots,    Lots Signed,        Price,Ccy,       Trx Value,  Trx Type, Trx Date,                                 Trx Ref,  Trade No,   Voucher,Trd Date            ,Prod Group,HseClt,CltBkr,Curr Date,LEI                 ,Trade Source,Trade Type
LT    ,          ,LTESTLON  ,LTESTLON  ,YM             ,Sep-19,          ,5,  ,B,1,1,27039,USD,-1,COMMISSION,12-Jul-19,Buy 1 lots SEP-19  $5 MINI DJ CBOT      ,281684703,288691988,12-Jul-19,          ,C     ,C     ,12-Jul-19,xxxxxxxxxxxxxxxxxxxx,S           ,N         
LT    ,          ,LTESTLON  ,LTESTLON  ,YM             ,Sep-19,          ,5,  ,S,1,-1,26897,USD,-1,COMMISSION,12-Jul-19,Sell 1 lots SEP-19  $5 MINI DJ CBOT     ,281684704,288691989,12-Jul-19,          ,C     ,C     ,12-Jul-19,xxxxxxxxxxxxxxxxxxxx,S           ,N         
LT    ,          ,LTESTLON  ,LTESTLON  ,YM             ,Sep-19,          ,5,  ,S,1,-1,26899,USD,-1,COMMISSION,12-Jul-19,Sell 1 lots SEP-19  $5 MINI DJ CBOT     ,281684705,288691990,12-Jul-19,          ,C     ,C     ,12-Jul-19,xxxxxxxxxxxxxxxxxxxx,S           ,N         
LT    ,          ,LTESTLON  ,LTESTLON  ,YM             ,Sep-19,          ,5,  ,S,1,-1,26946,USD,-1,COMMISSION,12-Jul-19,Sell 1 lots SEP-19  $5 MINI DJ CBOT     ,281684706,288691991,12-Jul-19,          ,C     ,C     ,12-Jul-19,xxxxxxxxxxxxxxxxxxxx,S           ,N         
LT    ,          ,LTESTLON  ,LTESTLON  ,YM             ,Sep-19,          ,5,  ,S,1,-1,26965,USD,-1,COMMISSION,12-Jul-19,Sell 1 lots SEP-19  $5 MINI DJ CBOT     ,281684707,288691992,12-Jul-19,          ,C     ,C     ,12-Jul-19,xxxxxxxxxxxxxxxxxxxx,S           ,N         
LT    ,          ,LTESTLON  ,LTESTLON  ,YM             ,Sep-19,          ,5,  ,S,1,-1,27028,USD,-1,COMMISSION,12-Jul-19,Sell 1 lots SEP-19  $5 MINI DJ CBOT     ,281684708,288691993,12-Jul-19,          ,C     ,C     ,12-Jul-19,xxxxxxxxxxxxxxxxxxxx,S           ,N         
LT    ,          ,LTESTLON  ,LTESTLON  ,YM             ,Sep-19,          ,5,  ,S,1,-1,27038,USD,-1,COMMISSION,12-Jul-19,Sell 1 lots SEP-19  $5 MINI DJ CBOT     ,281684709,288691994,12-Jul-19,          ,C     ,C     ,12-Jul-19,xxxxxxxxxxxxxxxxxxxx,S           ,N         
LT    ,          ,LTESTLON  ,LTESTLON  ,YM             ,Sep-19,          ,5,  ,S,1,-1,26967,USD,-1,COMMISSION,12-Jul-19,Sell 1 lots SEP-19  $5 MINI DJ CBOT     ,281684710,288691995,12-Jul-19,          ,C     ,C     ,12-Jul-19,xxxxxxxxxxxxxxxxxxxx,S           ,N         
LT    ,          ,LTESTLON  ,LTESTLON  ,YM             ,Sep-19,          ,5,  ,B,1,1,26893,USD,-1.2,       FEE,12-Jul-19,1 lots SEP-19  $5 MINI DJ CBOT          ,281684700,288692074,12-Jul-19,          ,C     ,C     ,12-Jul-19,xxxxxxxxxxxxxxxxxxxx,S           ,N         
LT    ,          ,LTESTLON  ,LTESTLON  ,YM             ,Sep-19,          ,5,  ,B,1,1,26910,USD,-1.2,       FEE,12-Jul-19,1 lots SEP-19  $5 MINI DJ CBOT          ,281684699,288692076,12-Jul-19,          ,C     ,C     ,12-Jul-19,xxxxxxxxxxxxxxxxxxxx,S           ,N         
LT    ,          ,LTESTLON  ,LTESTLON  ,YM             ,Sep-19,          ,5,  ,S,1,-1,26897,USD,-1.2,       FEE,12-Jul-19,1 lots SEP-19  $5 MINI DJ CBOT          ,281684704,288692078,12-Jul-19,          ,C     ,C     ,12-Jul-19,xxxxxxxxxxxxxxxxxxxx,S           ,N         
LT    ,          ,LTESTLON  ,LTESTLON  ,YM             ,Sep-19,          ,5,  ,B,1,1,26968,USD,-1.2,       FEE,12-Jul-19,1 lots SEP-19  $5 MINI DJ CBOT          ,281684701,288692080,12-Jul-19,          ,C     ,C     ,12-Jul-19,xxxxxxxxxxxxxxxxxxxx,S           ,N         
LT    ,          ,LTESTLON  ,LTESTLON  ,YM             ,Sep-19,          ,5,  ,B,1,1,27045,USD,-1.2,       FEE,12-Jul-19,1 lots SEP-19  $5 MINI DJ CBOT          ,281684702,288692082,12-Jul-19,          ,C     ,C     ,12-Jul-19,xxxxxxxxxxxxxxxxxxxx,S           ,N         
LT    ,          ,LTESTLON  ,LTESTLON  ,YM             ,Sep-19,          ,5,  ,B,1,1,27039,USD,-1.2,       FEE,12-Jul-19,1 lots SEP-19  $5 MINI DJ CBOT          ,281684703,288692084,12-Jul-19,          ,C     ,C     ,12-Jul-19,xxxxxxxxxxxxxxxxxxxx,S           ,N         
LT    ,          ,LTESTLON  ,LTESTLON  ,YM             ,Sep-19,          ,5,  ,S,1,-1,26967,USD,-1.2,       FEE,12-Jul-19,1 lots SEP-19  $5 MINI DJ CBOT          ,281684710,288692086,12-Jul-19,          ,C     ,C     ,12-Jul-19,xxxxxxxxxxxxxxxxxxxx,S           ,N         
LT    ,          ,LTESTLON  ,LTESTLON  ,YM             ,Sep-19,          ,5,  ,B,1,1,26950,USD,-1.2,       FEE,12-Jul-19,1 lots SEP-19  $5 MINI DJ CBOT          ,281684698,288692088,12-Jul-19,          ,C     ,C     ,12-Jul-19,xxxxxxxxxxxxxxxxxxxx,S           ,N         
LT    ,          ,LTESTLON  ,LTESTLON  ,YM             ,Sep-19,          ,5,  ,B,1,1,26960,USD,-1.2,       FEE,12-Jul-19,1 lots SEP-19  $5 MINI DJ CBOT          ,281684697,288692090,12-Jul-19,          ,C     ,C     ,12-Jul-19,xxxxxxxxxxxxxxxxxxxx,S           ,N         
LT    ,          ,LTESTLON  ,LTESTLON  ,YM             ,Sep-19,          ,5,  ,S,1,-1,27038,USD,-1.2,       FEE,12-Jul-19,1 lots SEP-19  $5 MINI DJ CBOT          ,281684709,288692092,12-Jul-19,          ,C     ,C     ,12-Jul-19,xxxxxxxxxxxxxxxxxxxx,S           ,N         
LT    ,          ,LTESTLON  ,LTESTLON  ,YM             ,Sep-19,          ,5,  ,S,1,-1,27028,USD,-1.2,       FEE,12-Jul-19,1 lots SEP-19  $5 MINI DJ CBOT          ,281684708,288692094,12-Jul-19,          ,C     ,C     ,12-Jul-19,xxxxxxxxxxxxxxxxxxxx,S           ,N         
LT    ,          ,LTESTLON  ,LTESTLON  ,YM             ,Sep-19,          ,5,  ,S,1,-1,26965,USD,-1.2,       FEE,12-Jul-19,1 lots SEP-19  $5 MINI DJ CBOT          ,281684707,288692096,12-Jul-19,          ,C     ,C     ,12-Jul-19,xxxxxxxxxxxxxxxxxxxx,S           ,N         
LT    ,          ,LTESTLON  ,LTESTLON  ,YM             ,Sep-19,          ,5,  ,S,1,-1,26946,USD,-1.2,       FEE,12-Jul-19,1 lots SEP-19  $5 MINI DJ CBOT          ,281684706,288692098,12-Jul-19,          ,C     ,C     ,12-Jul-19,xxxxxxxxxxxxxxxxxxxx,S           ,N         
LT    ,          ,LTESTLON  ,LTESTLON  ,YM             ,Sep-19,          ,5,  ,B,1,1,26950,USD,-1,COMMISSION,12-Jul-19,Buy 1 lots SEP-19  $5 MINI DJ CBOT      ,281684698,288691983,12-Jul-19,          ,C     ,C     ,12-Jul-19,xxxxxxxxxxxxxxxxxxxx,S           ,N         
LT    ,          ,LTESTLON  ,LTESTLON  ,Z              ,Sep-19,          ,10,  ,B,1,1,7457.5,GBP,-1,COMMISSION,12-Jul-19,Buy 1 lots SEP-19  FTSE 100 F           ,281684711,288691996,12-Jul-19,          ,C     ,C     ,12-Jul-19,xxxxxxxxxxxxxxxxxxxx,S           ,N         
LT    ,          ,LTESTLON  ,LTESTLON  ,Z              ,Sep-19,          ,10,  ,S,1,-1,7488.5,GBP,-0.3,       FEE,12-Jul-19,1 lots SEP-19  FTSE 100 F               ,281684712,288692104,12-Jul-19,          ,C     ,C     ,12-Jul-19,xxxxxxxxxxxxxxxxxxxx,S           ,N         
LT    ,          ,LTESTLON  ,LTESTLON  ,Z              ,Sep-19,          ,10,  ,B,1,1,7457.5,GBP,-0.3,       FEE,12-Jul-19,1 lots SEP-19  FTSE 100 F               ,281684711,288692102,12-Jul-19,          ,C     ,C     ,12-Jul-19,xxxxxxxxxxxxxxxxxxxx,S           ,N         
LT    ,          ,LTESTLON  ,LTESTLON  ,Z              ,Sep-19,          ,10,  ,S,1,-1,7488.5,GBP,-1,COMMISSION,12-Jul-19,Sell 1 lots SEP-19  FTSE 100 F          ,281684712,288691997,12-Jul-19,          ,C     ,C     ,12-Jul-19,xxxxxxxxxxxxxxxxxxxx,S           ,N         
EOF,,,,,,,,,,,,,,,,,,,,,,,,,,,
